"000030401933";"Radio Frequency Systems";"Antena Direcional                                                               ";"APX 906516";"APX 906516";"05/10/2017";"23/12/2005"
"000030401933";"Radio Frequency Systems";"Antena Direcional                                                               ";"APX 906512";"APX 906512";"05/10/2017";"23/12/2005"
"000031403225";"Verykool USA Inc., ";"Telefone Móvel Celular";"i127";"i127";"05/10/2017";"04/06/2015"
"000040401705";"Andrew do Brasil Ltda.";"Antena Direcional                                                               ";"DB855DD90ESX";"DB855DD90ESX";"05/10/2017";"27/08/2010"
"000040401705";"Andrew do Brasil Ltda.";"Antena Direcional                                                               ";"DB858DD90ESX";"DB858DD90ESX";"05/10/2017";"27/08/2010"
"000040401705";"Andrew do Brasil Ltda.";"Antena Direcional                                                               ";"854DG90VTESX";"854DG90VTESX";"05/10/2017";"27/08/2010"
"000040401705";"Andrew do Brasil Ltda.";"Antena Direcional                                                               ";"854DG90T6ESX";"854DG90T6ESX";"05/10/2017";"27/08/2010"
"000040401705";"Andrew do Brasil Ltda.";"Antena Direcional                                                               ";"DB854DG90ESX";"DB854DG90ESX";"05/10/2017";"27/08/2010"
"000040401705";"Andrew do Brasil Ltda.";"Antena Direcional                                                               ";"DB856DG90ESX";"DB856DG90ESX";"05/10/2017";"27/08/2010"
"000040401705";"Andrew do Brasil Ltda.";"Antena Direcional                                                               ";"858DG90T3ESX";"858DG90T3ESX";"05/10/2017";"27/08/2010"
"000040401705";"Andrew do Brasil Ltda.";"Antena Direcional                                                               ";"858DG90T2ESX";"858DG90T2ESX";"05/10/2017";"27/08/2010"
"000040401705";"Andrew do Brasil Ltda.";"Antena Direcional                                                               ";"DB858DG90ESX";"DB858DG90ESX";"05/10/2017";"27/08/2010"
"000040401705";"Andrew do Brasil Ltda.";"Antena Direcional                                                               ";"855DD90T3ESX";"855DD90T3ESX";"05/10/2017";"27/08/2010"
"000040501547";"Microsoft Mobile Oy";"Telefone Móvel Celular";"9300";"9300";"05/10/2017";"29/12/2007"
"000040601714";"Opticom Communications do Brasil Ltda.";"Estação Terminal de Acesso";"AirMODEM M94";"AirMODEM M94";"05/10/2017";"16/12/2006"
"000050301535";"Allen Telecomunicações do Brasil Ltda.";"Antena Omnidirecional";"DB589T6-XC";"DB589T6-XC";"05/10/2017";"04/12/2004"
"000050301535";"Allen Telecomunicações do Brasil Ltda.";"Antena Omnidirecional";"DB586T6-XC";"DB586T6-XC";"05/10/2017";"04/12/2004"
"000050301535";"Allen Telecomunicações do Brasil Ltda.";"Antena Omnidirecional";"DB586T6E-XC";"DB586T6E-XC";"05/10/2017";"04/12/2004"
"000050301535";"Allen Telecomunicações do Brasil Ltda.";"Antena Omnidirecional";"DB806D-XC";"DB806D-XC";"05/10/2017";"04/12/2004"
"000050301535";"Allen Telecomunicações do Brasil Ltda.";"Antena Omnidirecional";"DB806DE-XC";"DB806DE-XC";"05/10/2017";"04/12/2004"
"000050301535";"Allen Telecomunicações do Brasil Ltda.";"Antena Omnidirecional";"DB806T3-XC";"DB806T3-XC";"05/10/2017";"04/12/2004"
"000050301535";"Allen Telecomunicações do Brasil Ltda.";"Antena Omnidirecional";"DB806T3E-XC";"DB806T3E-XC";"05/10/2017";"04/12/2004"
"000050301535";"Allen Telecomunicações do Brasil Ltda.";"Antena Omnidirecional";"DB806KR-XC";"DB806KR-XC";"05/10/2017";"04/12/2004"
"000050301535";"Allen Telecomunicações do Brasil Ltda.";"Antena Omnidirecional";"DB806KRE-XC";"DB806KRE-XC";"05/10/2017";"04/12/2004"
"000050301535";"Allen Telecomunicações do Brasil Ltda.";"Antena Omnidirecional";"DB809KSR-XC";"DB809KSR-XC";"05/10/2017";"04/12/2004"
"000050301535";"Allen Telecomunicações do Brasil Ltda.";"Antena Omnidirecional";"DB809KSRE-XC";"DB809KSRE-XC";"05/10/2017";"04/12/2004"
"000050301535";"Allen Telecomunicações do Brasil Ltda.";"Antena Omnidirecional";"DB810KRR-XC";"DB810KRR-XC";"05/10/2017";"04/12/2004"
"000050301535";"Allen Telecomunicações do Brasil Ltda.";"Antena Omnidirecional";"DB810KRRE-XC";"DB810KRRE-XC";"05/10/2017";"04/12/2004"
"000050301535";"Allen Telecomunicações do Brasil Ltda.";"Antena Omnidirecional";"DB589T6E-XC";"DB589T6E-XC";"05/10/2017";"04/12/2004"
"000050400706";"Celta Indústria e Comércio Ltda.";"Antena Omnidirecional";"CE-1549T/BD";"CE-1549T/BD";"05/10/2017";"12/12/2005"
"000050601885";"Enfora Inc.";"Estação Terminal de Acesso";"Enabler - IIG";"Enabler - IIG";"05/10/2017";"20/12/2006"
"000060400706";"Celta Indústria e Comércio Ltda.";"Antena Omnidirecional";"CE-1549T";"CE-1549T";"05/10/2017";"13/02/2009"
"000060601936";"Advantech Wireless Inc.";"Transmissor para Estação Terrena";"SSPBM – C200 – BRE";"SSPBM – C200 – BRE";"05/10/2017";"12/12/2007"
"000061400192";"Nec Corporation";"Antena Ponto a Ponto                                                            ";"BSL1-212DS-M";"BSL1-212DS-M";"05/10/2017";"09/06/2016"
"000061400192";"Nec Corporation";"Antena Ponto a Ponto                                                            ";"BSL2-212DS-M";"BSL2-212DS-M";"05/10/2017";"09/06/2016"
"000070301242";"Telemobile Inc.";"Transceptor Digital                                                             ";"RMOD 19";"RMOD 19";"05/10/2017";"20/09/2004"
"000070401792";"Ericsson AB";"Multiplexador de Dados";"BASIC 3";"BASIC 3";"05/10/2017";""
"000070601144";"Trellis Tecnologia Sociedade Ltda.";"Modem Analógico";"TRELLIS SFM56P";"TRELLIS SFM56P";"05/10/2017";"12/12/2006"
"000071400192";"Nec Corporation";"Antena Ponto a Ponto                                                            ";"BSL2-145DS-M";"BSL2-145DS-M";"05/10/2017";"03/06/2016"
"000080300450";"GE MDS, LLC";"Transceptor Digital                                                             ";"LEDR 400S";"LEDR 400S";"05/10/2017";"11/12/2004"
"000080401853";"BenQ Mobile";"Telefone Móvel Celular";"SX1";"SX1";"05/10/2017";"19/12/2004"
"000051201678";"Modular Mining Systems, Inc. (MMSI)";"Transceptor de Radiação Restrita                                                ";"ML Ethernet Radio";"ML Ethernet Radio";"05/10/2017";"02/01/2014"
"000081503285";"AudioCodes Ltd.";"Equipamento de Rede de Dados";"Mediant 500L";"";"05/10/2017";""
"000090300450";"GE MDS, LLC";"Transceptor Digital                                                             ";"LEDR 400F";"LEDR 400F";"05/10/2017";"11/12/2004"
"000090400730";"Sea Tel, Inc";"Antena para Estação Terrena";"4996T";"4996T";"05/10/2017";"27/10/2005"
"000090602828";"Teledyne Paradise Datacom LLC";"Modem para Estação Terrena";"P310";"P310";"05/10/2017";"14/09/2007"
"000090804149";"Strix Systems, Inc.";"Transceptor de Radiação Restrita                                                ";"IWS";"IWS";"05/10/2017";"15/07/2011"
"000100300545";"SIEMENS LTDA";"Central Privada de Comutação Telefônica";"euroset line 8i";"euroset line 8i";"05/10/2017";"16/12/2003"
"000100400865";"Nortel Networks Telecom do Brasil Ind e Com Ltda";"Transceptor para Estação Rádio Base";"MFRM-2";"MFRM-2";"05/10/2017";"26/11/2009"
"000100502270";"Lucent Technologies Inc";"Multiplex SDH - Equipamento STM-64";"Lambda Unite";"Lambda Unite";"05/10/2017";""
"000100601261";"Juniper Networks Inc.";"Equipamento para Interconexão de Redes";"ERX-310";"ERX-310";"05/10/2017";""
"000110301853";"BenQ Mobile";"Estação Terminal de Acesso";"MC35-T";"MC35-T";"05/10/2017";"02/12/2003"
"000110301853";"BenQ Mobile";"Estação Terminal de Acesso";"MC35";"MC35";"05/10/2017";"02/12/2003"
"000110402162";"Ericsson Radio System AB";"Transceptor para Estação Rádio Base";"KRC 161 31/056";"KRC 161 31/056";"05/10/2017";"04/11/2005"
"000060200650";"Cabelte Indústrias do Brasil S/A";"Cabo de Fibras Ópticas";"CFOA-NZD-DD-G48";"CFOA-NZD-DD-G48";"05/10/2017";""
"000110501501";"Siemens Ltda.";"Modem Digital XDSL";"SpeedStream 4100";"SpeedStream 4100";"05/10/2017";"18/12/2007"
"000110601261";"Juniper Networks Inc.";"Equipamento para Interconexão de Redes";"M20";"M20";"05/10/2017";""
"000081201882";"Ericsson Telecomunicações S/A";"Transceptor para Estação Rádio Base";"KRC 118 70/3";"KRC 118 70/3";"05/10/2017";"28/12/2017"
"000110800871";"Hughes Network Systems";"Modem para Estação Terrena";"HX 50";"HX 50";"05/10/2017";"24/07/2018"
"000120301853";"BenQ Mobile";"Estação Terminal de Acesso";"TC35-T";"TC35-T";"05/10/2017";"02/12/2003"
"000120400421";"Harris Corporation";"Transceptor Digital                                                             ";"Galaxy 23 GHz";"Galaxy 23 GHz";"05/10/2017";"13/11/2005"
"000120501064";"3Com Corporation";"Transceptor de Radiação Restrita - Modulação Digital                            ";"WL-545";"WL-545";"05/10/2017";"15/12/2006"
"000120600574";"LG Electronics Inc.";"Transceptor de Radiação Restrita - Espalhamento Espectral                       ";"HBM-300";"HBM-300";"05/10/2017";"14/12/2007"
"000121005802";"EF Johnson Technologies";"Transceptor Troncalizado - Móvel                                                ";"53SL ES";"53SL ES";"05/10/2017";"23/09/2016"
"000121601702";"Comtech EF Data";"Transceptor para Estação Terrena (não SMM)";"CSAT/5060-10W";"";"05/10/2017";"18/01/2019"
"000121601702";"Comtech EF Data";"Transceptor para Estação Terrena (não SMM)";"CSAT/5060-20W";"";"05/10/2017";"18/01/2019"
"000121601702";"Comtech EF Data";"Transceptor para Estação Terrena (não SMM)";"CSAT/5060-25W";"";"05/10/2017";"18/01/2019"
"000121601702";"Comtech EF Data";"Transceptor para Estação Terrena (não SMM)";"CSAT/5060-50W";"";"05/10/2017";"18/01/2019"
"000121601702";"Comtech EF Data";"Transceptor para Estação Terrena (não SMM)";"CSAT/5060-100W";"";"05/10/2017";"18/01/2019"
"000121601702";"Comtech EF Data";"Transceptor para Estação Terrena (não SMM)";"CSAT/5060-125W";"";"05/10/2017";"18/01/2019"
"000121601702";"Comtech EF Data";"Transceptor para Estação Terrena (não SMM)";"CSAT/5060-5W";"";"05/10/2017";"18/01/2019"
"000130300897";"Kenwood Corporation";"Repetidor não TV";"TKR 750";"TKR 750";"05/10/2017";"06/12/2006"
"000130401592";"Nokia do Brasil Ltda.";"Transceptor para Estação Rádio Base";"UltraSite GSM/EDGE 1800";"UltraSite GSM/EDGE 1800";"05/10/2017";"20/07/2012"
"000130501064";"3Com Corporation";"Transceptor de Radiação Restrita                                                ";"WL-532";"WL-532";"05/10/2017";"15/12/2010"
"000130602286";"Enterasys Networks, Inc.";"Transceptor de Radiação Restrita - Modulação Digital                            ";"RBTBJ-AW";"RBTBJ-AW";"05/10/2017";"05/12/2007"
"000140300897";"Kenwood Corporation";"Repetidor não TV";"TKR  850";"TKR  850";"05/10/2017";"09/12/2004"
"000140401886";"Handspring Inc.";"Estação Terminal de Acesso";"Treo 600";"Treo 600";"05/10/2017";"16/10/2004"
"000140501792";"Ericsson AB";"Equipamento de Rede de Dados";"ELN 220 (KDU 137 139/4)";"ELN 220 (KDU 137 139/4)";"05/10/2017";""
"000140602286";"Enterasys Networks, Inc.";"Transceptor de Radiação Restrita - Modulação Digital                            ";"RBT-4102";"RBT-4102";"05/10/2017";"30/11/2011"
"000141104419";"Ralink Technology Corporation ";"Transceptor de Radiação Restrita                                                ";"RT3592BC8";"RT3592BC8";"05/10/2017";"27/09/2014"
"000141506449";"Xarina Trading Co., Ltd ";"Equipamento de Radiocomunicação de Radiação Restrita";"CS-57T-T";"CS-57T-T";"05/10/2017";"01/06/2017"
"000150301829";"Aeroeletrônica Indústria de Comp. Aviônicos S/A";"Transceptor de Radiação Restrita - Espalhamento Espectral                       ";"RMMA ";"RMMA ";"05/10/2017";"01/12/2006"
"000150401705";"Andrew do Brasil Ltda.";"Antena Direcional                                                               ";"DB842H35E-SY";"DB842H35E-SY";"05/10/2017";"12/12/2011"
"000150401705";"Andrew do Brasil Ltda.";"Antena Direcional                                                               ";"DB844H35E-SY";"DB844H35E-SY";"05/10/2017";"12/12/2011"
"000150401705";"Andrew do Brasil Ltda.";"Antena Direcional                                                               ";"DB848H35E-SY";"DB848H35E-SY";"05/10/2017";"12/12/2011"
"000150502463";"Nokia Corporation";"Central de Comutação e Controle";"DXT";"DXT";"05/10/2017";""
"000160301829";"Aeroeletrônica Indústria de Comp. Aviônicos S/A";"Transceptor de Radiação Restrita - Espalhamento Espectral                       ";"ERBMA 3919";"ERBMA 3919";"05/10/2017";"01/12/2006"
"000160400643";"AsGa S/A.";"Terminal de Linha Óptica com Multiplex Integrado";"MMO 2E1 Ad-XT";"MMO 2E1 Ad-XT";"05/10/2017";""
"000160502410";"Gemtek Technology Co., Ltd.";"Transceptor de Radiação Restrita - Híbrido                                      ";"WAPA-118GD";"WAPA-118GD";"05/10/2017";"14/12/2006"
"000160602076";"Stracta Ind. e Com. de Prod. de Telecom. Ltda. EPP";"Alarme para Linha Telefônica";"Assistente Alerta";"Assistente Alerta";"05/10/2017";"16/12/2007"
"000161506449";"Xarina Trading Co., Ltd ";"Equipamento de Radiocomunicação de Radiação Restrita";"XAR01-2 ";"XAR01-2 ";"05/10/2017";"03/06/2017"
"000170300514";"Marconi Communications S.p.A";"Multiplex Óptico WDM";"SmartPhotonix PLX (PLT, PLA, PLD) ";"SmartPhotonix PLX (PLT, PLA, PLD) ";"05/10/2017";""
"000170401597";"Huawei Technologies Co. Ltd.";"Multiplex SDH - Equipamento SDXC-4/1";"Optix Metro 1050";"Optix Metro 1050";"05/10/2017";""
"000170502398";"ArtSat (Antonio Carlos Reganhan ME)";"Antena Direcional                                                               ";"ART 60";"ART 60";"05/10/2017";"07/10/2012"
"000170602286";"Enterasys Networks, Inc.";"Transceptor de Radiação Restrita - Modulação Digital                            ";"RBTSA-AA";"RBTSA-AA";"05/10/2017";"30/11/2007"
"000301605388";"R&M - REICHLE & de MASSARI AG";"Fibra Óptica                                                                    ";"COA-MM50-DP 20 COG";"COA-MM50-DP 20 COG";"05/10/2017";""
"000301605388";"R&M - REICHLE & de MASSARI AG";"Fibra Óptica                                                                    ";"COA-MM50-DP 30 COG";"COA-MM50-DP 30 COG";"05/10/2017";""
"000180402155";"SAF Tehnika AS";"Transceptor Digital                                                             ";"CFM-15-FO2E1";"CFM-15-FO2E1";"05/10/2017";"17/10/2005"
"000081603685";"Konica Minolta Inc.";"Equipamento de Fac-Símile";"bizhub 206";"bizhub 206";"05/10/2017";"14/01/2018"
"000180500554";"Digitel S/A - Indústria Eletrônica";"Multiplex SDH - Equipamento STM-1";"DT 21E1-SDH/CX";"DT 21E1-SDH/CX";"05/10/2017";"10/08/2010"
"000081603685";"Konica Minolta Inc.";"Equipamento de Fac-Símile";"bizhub 226";"bizhub 226";"05/10/2017";"14/01/2018"
"000180500554";"Digitel S/A - Indústria Eletrônica";"Multiplex SDH - Equipamento STM-1";"DT SDH/AC";"DT SDH/AC";"05/10/2017";"10/08/2010"
"000180500554";"Digitel S/A - Indústria Eletrônica";"Multiplex SDH - Equipamento STM-1";"DT SDH/DC";"DT SDH/DC";"05/10/2017";"10/08/2010"
"000180500554";"Digitel S/A - Indústria Eletrônica";"Multiplex SDH - Equipamento STM-1";"DT 21E1-SDH/75";"DT 21E1-SDH/75";"05/10/2017";"10/08/2010"
"000180500554";"Digitel S/A - Indústria Eletrônica";"Multiplex SDH - Equipamento STM-1";"DT 21E1-SDH/GB";"DT 21E1-SDH/GB";"05/10/2017";"10/08/2010"
"000190502490";"Zinwell Corporation";"Transceptor de Radiação Restrita - Espalhamento Espectral                       ";"Z Plus-B-191-0D";"Z Plus-B-191-0D";"05/10/2017";"08/12/2008"
"000190602998";"CCE da Amazônia S/A";"Modem Analógico";"PCI-1";"PCI-1";"05/10/2017";"22/12/2006"
"000200300670";"BrasilSat Harald S/A";"Antena para Estação Terrena";"SOB37-18";"SOB37-18";"05/10/2017";"09/12/2018"
"000200300670";"BrasilSat Harald S/A";"Antena para Estação Terrena";"SOB37-24R";"SOB37-24R";"05/10/2017";"09/12/2018"
"000200300670";"BrasilSat Harald S/A";"Antena para Estação Terrena";"SOB37-24";"SOB37-24";"05/10/2017";"09/12/2018"
"000091005801";"PINETREE IND. E COM. DE PRODUTOS ELETRÔNICOS LTDA";"Transmissor para Serviço Auxiliar de Radiodifusão TV";"PT-ENG TX 2.5W-2.5";"PT-ENG TX 2.5W-2.5";"05/10/2017";"24/02/2012"
"000200502490";"Zinwell Corporation";"Transceptor de Radiação Restrita - Espalhamento Espectral                       ";"ZWG-B590";"ZWG-B590";"05/10/2017";"08/12/2006"
"000091005801";"PINETREE IND. E COM. DE PRODUTOS ELETRÔNICOS LTDA";"Transmissor para Serviço Auxiliar de Radiodifusão TV";"PT-ENG TX 1W-2.5";"PT-ENG TX 1W-2.5";"05/10/2017";"24/02/2012"
"000331302982";"Lexmark International Inc.";"Equipamento de Fac-Símile";"MX717de";"machine type - 7463-037";"05/10/2017";"29/01/2018"
"000210300670";"BrasilSat Harald S/A";"Antena Ponto a Ponto                                                            ";"AES212-03";"AES212-03";"05/10/2017";"13/12/2016"
"000331302982";"Lexmark International Inc.";"Equipamento de Fac-Símile";"MX718de";"machine type - 7463-237";"05/10/2017";"29/01/2018"
"000210300670";"BrasilSat Harald S/A";"Antena Ponto a Ponto                                                            ";"AES212-06";"AES212-06";"05/10/2017";"13/12/2016"
"000091103518";"Comba Telecom Ltd.";"Antena Omnidirecional";"OOA-360V11Ax";"OOA-360V11Ax";"05/10/2017";"05/01/2013"
"000220500192";"Nec Corporation";"Transceptor de Radiação Restrita - Híbrido                                      ";"UNIVERGE WL 1200 AP";"UNIVERGE WL 1200 AP";"05/10/2017";"16/11/2006"
"000230402160";"Tekelec Inc.";"Multiplexador de Dados";"EAGLE STP";"EAGLE STP";"05/10/2017";""
"000361005803";"PORTO SEGURO PROTEÇÃO E MONITORAMENTO LTDA.";"Estação Terminal de Acesso";"PSPD010";"PSPD010";"05/10/2017";"13/12/2016"
"000230500192";"Nec Corporation";"Transceptor de Radiação Restrita - Espalhamento Espectral                       ";"MH110";"MH110";"05/10/2017";"16/11/2006"
"000361005803";"PORTO SEGURO PROTEÇÃO E MONITORAMENTO LTDA.";"Estação Terminal de Acesso";"PSPD025";"PSPD025";"05/10/2017";"13/12/2016"
"000091303132";"Cablena do Brasil Ltda.";"Cabo de Fibras Ópticas";"CFOA SM LV AS CMO 20kN-S-72-NR";"CFOA SM LV AS CMO 20kN-S-72-NR";"05/10/2017";""
"000230602880";"3Com Corporation";"Equipamento para Interconexão de Redes";"Router 5642";"Router 5642";"05/10/2017";""
"000091303132";"Cablena do Brasil Ltda.";"Cabo de Fibras Ópticas";"CFOA SM LV AS CMO 20kN-S-72-RC";"CFOA SM LV AS CMO 20kN-S-72-RC";"05/10/2017";""
"000701707600";"TCL Mobile Communication (HK) Co., Ltd.";"Bateria de Lítio                                                                ";"TLp027AJ ";"";"05/10/2017";"22/02/2018"
"000280502468";"2Wire, Inc.";"Modem Digital XDSL";"Home Portal 1000HG";"Home Portal 1000HG";"05/10/2017";"25/11/2005"
"000731207281";"GLOBAL TECHNOLOGY COMMUNICATION COMERCIO DE ELETRONICOS LTDA";"Acoplador / Divisor Óptico Passivo (Splitter)                                   ";"1x2";"1x2";"05/10/2017";""
"000310300657";"Icom Incorporated";"Transceptor Portátil FM";"IC-F4GS";"IC-F4GS";"05/10/2017";"21/11/2004"
"000781710278";"HJ3-W Inc";"Conector de Fibra Óptica";"LC-PC SM";"";"05/10/2017";""
"000360502232";"Cisco - Linksys, LLC";"Transceptor de Radiação Restrita - Híbrido                                      ";"WRT54G";"WRT54G";"05/10/2017";"21/12/2006"
"000361701528";"Escene Communication Co., Limited";"Telefone IP (com fio)                                                           ";"8001G DESKPHONE";"8001G DESKPHONE";"05/10/2017";"11/01/2018"
"000391103518";"Comba Telecom Ltd.";"Transceptor Digital                                                             ";"ML-ODU08G-06";"ML-ODU08G-06";"05/10/2017";"20/07/2017"
"000821601693";"PST ELETRONICA LTDA.";"Transceptor de Radiação Restrita                                                ";"SP6920NAV";"SP6920NAV";"05/10/2017";"20/06/2018"
"001291601699";"Motorola Solutions, Inc.";"Transceptor Troncalizado - Portátil                                             ";"LAH81QCN9TA2AN";"LAH81QCN9TA2AN";"05/10/2017";"15/08/2017"
"001561502483";"Bang&Olufsen A/S";"Transceptor de Radiação Restrita                                                ";"LBWA1ZZPD";"LBWA1ZZPD";"05/10/2017";"25/08/2017"
"001771500164";"Symbol Technologies, Inc";"Transceptor de Radiação Restrita                                                ";"NCAP-500";"NCAP-500";"05/10/2017";"08/09/2017"
"001911709807";"Hewlett Packard Enterprise Company";"Transceptor de Radiação Restrita                                                ";"APIN0315";"APIN0315";"05/10/2017";"01/12/2018"
"001911709807";"Hewlett Packard Enterprise Company";"Transceptor de Radiação Restrita                                                ";"APIN0314";"APIN0314";"05/10/2017";"01/12/2018"
"001951608311";"ZyXEL Communications Corporation.";"Transceptor de Radiação Restrita                                                ";"NAP203";"NAP203";"05/10/2017";"19/04/2018"
"001961701739";"SAMSUNG ELECTRONICS INC.";"Equipamento de Radiocomunicação de Radiação Restrita";"EP-PG950 ";"";"05/10/2017";"03/02/2019"
"001971608311";"ZyXEL Communications Corporation.";"Transceptor de Radiação Restrita                                                ";"NAP303";"";"05/10/2017";"18/04/2018"
"001981002930";"Marquardt GmbH";"Dispositivo de Operação Periódica";"W169 TYPE 3312";"W169 TYPE 3312";"05/10/2017";"17/11/2012"
"000101505854";"Gainmax Limited";"Sistema de Telecomando";"SZ203-1TX";"SZ203-1TX";"05/10/2017";"27/01/2017"
"002011405321";"Nastek Industria e Tecnologia Ltda";"Estação Terminal de Acesso";"YON - Motor";"";"05/10/2017";"03/02/2018"
"002081700953";"Samsung Electronics Co Ltd.";"Transceptor de Radiação Restrita                                                ";"SM-T825";"";"05/10/2017";"22/02/2018"
"000110200502";"MOTOROLA MOBILITY COMERCIO DE PRODUTOS ELETRONICOS LTDA";"Telefone Móvel Celular";"Timeport P8160";"Timeport P8160";"05/10/2017";"15/01/2003"
"002081700953";"Samsung Electronics Co Ltd.";"Equipamento de Radiocomunicação de Radiação Restrita";"SM-T825";"";"05/10/2017";"22/02/2018"
"002081700953";"Samsung Electronics Co Ltd.";"Estação Terminal de Acesso";"SM-T825";"";"05/10/2017";"22/02/2018"
